id,name,price,link,image
365289957, Ноутбук Lenovo ThinkBook 15 G4 IAP (21DJ000CRA) Mineral Grey ,35 779₴,https://rozetka.com.ua/ua/lenovo-21dj000cra/p365289957/,https://content1.rozetka.com.ua/goods/images/big_tile/309882738.jpg
389293881, Ноутбук Microsoft Surface Laptop 5 (VT3-00001) Black ,116 555₴,https://rozetka.com.ua/ua/microsoft-vt3-00001/p389293881/,https://content.rozetka.com.ua/goods/images/big_tile/354165195.jpg
361043823, Ноутбук Lenovo V15 G3 IAP (82TT003PRA) Business Black ,22 899₴,https://rozetka.com.ua/ua/lenovo-82tt003pra/p361043823/,https://content2.rozetka.com.ua/goods/images/big_tile/320930598.jpg
346331895, Ноутбук Dream Machines RG3060-17 (RG3060-17UA37) ,56 499₴,https://rozetka.com.ua/ua/dream_machines_rg3060_17ua37/p346331895/,
393411231, Ноутбук Acer Swift X SFX14-42G-R8VC (NX.K78EU.008) Steel Grey ,42 999₴,https://rozetka.com.ua/ua/acer-nxk78eu008/p393411231/,
392915121, Ноутбук HP Laptop 17-cn3015ua (8B5Y5EA) Natural Silver ,31 999₴,https://rozetka.com.ua/ua/hp-8b5y5ea/p392915121/,
380663949, Ноутбук Gigabyte AORUS 15 (AKF-B3KZ754SH) Black ,85 999₴,https://rozetka.com.ua/ua/gigabyte-akf-b3kz754sh/p380663949/,
386642586, Ноутбук ASUS Vivobook Pro 15 OLED K6502VU-MA094 (90NB1131-M00480) Quiet Blue ,54 999₴,https://rozetka.com.ua/ua/asus-90nb1131-m00480/p386642586/,
381417147, Ноутбук ASUS ZenBook 14X OLED UX5401ZA-L7065X (90NB0WM5-M004A0) Pine Grey ,75 999₴,https://rozetka.com.ua/ua/asus-90nb0wm5-m004a0/p381417147/,
388485405, Ноутбук MSI Stealth 17 Studio A13V (A13VH-069UA) Core Black ,163 999₴,https://rozetka.com.ua/ua/msi-a13vh-069ua/p388485405/,
396156921, Ноутбук Dream Machines RG4050-17 (RG4050-17UA20) Black ,49 999₴,https://rozetka.com.ua/ua/dream-machines-rg4050-17ua20/p396156921/,
398289897, Ноутбук Lenovo ThinkBook 16p G4 IRH (21J8003ERA) Storm Grey ,92 056₴,https://rozetka.com.ua/ua/lenovo-21j8003era/p398289897/,
396978090, Ноутбук Acer Aspire 3 A315-59-596F (NX.K6SEU.00B) Pure Silver ,21 499₴,https://rozetka.com.ua/ua/acer-nxk6seu00b/p396978090/,
380663319, Ноутбук Gigabyte AERO 16 OLED (BSF-73KZ994SO) Silver ,89 999₴,https://rozetka.com.ua/ua/gigabyte-bsf-73kz994so/p380663319/,
388485393, Ноутбук MSI Stealth 17 Studio A13V (A13VH-068UA) Core Black ,159 999₴,https://rozetka.com.ua/ua/msi-a13vh-068ua/p388485393/,
385039629, Ноутбук Lenovo Yoga 7 14IRL8 (82YL007XRA) Storm Grey + Стилус ,51 999₴,https://rozetka.com.ua/ua/lenovo-82yl007xra/p385039629/,
397950129, Ноутбук Lenovo ThinkBook 16 G6 IRL (21KH0069RA) Arctic Grey ,44 299₴,https://rozetka.com.ua/ua/lenovo-21kh0069ra/p397950129/,
395084898, Ноутбук Lenovo V15 G3 IAP (82TT00KHRA) Business Black ,26 999₴,https://rozetka.com.ua/ua/lenovo-82tt00khra/p395084898/,
400068729, Ноутбук Lenovo IdeaPad Slim 5 16ABR8 (82XG005CRA) Cloud Grey / AMD Ryzen 7 7730U / RAM 16 ГБ / SSD 1 ТБ / Підсвітка клавіатури ,29 999₴,https://rozetka.com.ua/ua/lenovo-82xg005cra/p400068729/,
372006969, Ноутбук Microsoft Surface Laptop 5 (RBH-00001) Platinum ,94 365₴,https://rozetka.com.ua/ua/microsoft-rbh-00001/p372006969/,
393160242, Ноутбук Lenovo ThinkBook 15 G4 IAP (21DJ00N9RA) Mineral Grey ,31 599₴,https://rozetka.com.ua/ua/lenovo-21dj00n9ra/p393160242/,
380663943, Ноутбук Gigabyte AORUS 15 (ASF-83KZ654SH) Black ,79 999₴,https://rozetka.com.ua/ua/gigabyte-asf-83kz654sh/p380663943/,
360052620, Ноутбук Dell Latitude 5530 (N207L5530MLK15UA_W11P) Grey ,64 517₴,https://rozetka.com.ua/ua/dell-n207l5530mlk15ua-w11p/p360052620/,
397978416, Ноутбук Lenovo ThinkBook 16 G6 IRL (21KH007SRA) Arctic Grey ,34 399₴,https://rozetka.com.ua/ua/lenovo-21kh007sra/p397978416/,
362814411, Ноутбук Dream Machines RG3060-15 (RG3060-15UA51) ,59 999₴,https://rozetka.com.ua/ua/dream-machines-rg3060-15ua51/p362814411/,
380662596, Ноутбук Gigabyte AERO 14 OLED (BMF-72KZBB4SO) Silver ,69 999₴,https://rozetka.com.ua/ua/gigabyte-bmf-72kzbb4so/p380662596/,
357664845, Ноутбук ASUS Laptop M515DA-BQ1255 (90NB0T41-M00C20) Slate Grey ,14 099₴,https://rozetka.com.ua/ua/asus-90nb0t41-m00c20/p357664845/,
382013745, Ноутбук Lenovo V15 G4 AMN (82YU00UDRA) Business Black ,17 799₴,https://rozetka.com.ua/ua/lenovo-82yu00udra/p382013745/,
388455864, Ноутбук ASUS Vivobook S 15 OLED K5504VN-L1033WS (90NB0ZQ3-M00130) Cool Silver ,39 999₴,https://rozetka.com.ua/ua/asus-90nb0zq3-m00130/p388455864/,
380656326, Ноутбук Acer Swift Go 14 SFG14-71-717F (NX.KF1EU.002) Pure Silver ,52 999₴,https://rozetka.com.ua/ua/acer-nxkf1eu002/p380656326/,
399221043, Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00AJRA) Cloud Grey ,17 999₴,https://rozetka.com.ua/ua/lenovo-82vg00ajra/p399221043/,
389215527, Ноутбук Dream Machines RG4050-17 (RG4050-17UA29) Black ,58 999₴,https://rozetka.com.ua/ua/dream-machines-rg4050-17ua29/p389215527/,
374686614, Ноутбук Dream Machines RX770M-17 (RX770M-17UA20) ,84 999₴,https://rozetka.com.ua/ua/dream-machines-rx770m-17ua20/p374686614/,
376952094, Ноутбук Dell Vostro 16 5630 (N1006VNB5630UA_W11P) Gray ,53 809₴,https://rozetka.com.ua/ua/dell-n1006vnb5630ua-w11p/p376952094/,
400205652, Ноутбук Lenovo IdeaPad 1 15ALC7 (82R4009QRA) Cloud Grey ,17 499₴,https://rozetka.com.ua/ua/lenovo-82r4009qra/p400205652/,
388351863, Ноутбук ASUS ExpertBook B1 B1502CBA-BQ0496 (90NX05U1-M00KY0) Star Black ,27 399₴,https://rozetka.com.ua/ua/asus-90nx05u1-m00ky0/p388351863/,
395084886, Ноутбук Lenovo V15 G3 IAP (82TT00KKRA) Business Black ,28 499₴,https://rozetka.com.ua/ua/lenovo-82tt00kkra/p395084886/,
380175171, Ноутбук MSI Raider GE78 HX 13V (13VH-212UA) Core Black ,169 999₴,https://rozetka.com.ua/ua/msi-13vh-212ua/p380175171/,
384512961, Ноутбук HP Probook 440 G9 (7M9X7ES) Silver ,39 999₴,https://rozetka.com.ua/ua/hp-7m9x7es/p384512961/,
371001285, Ноутбук Dream Machines RS3080-15 (RS3080-15UA36) ,94 999₴,https://rozetka.com.ua/ua/dream-machines-rs3080-15ua36/p371001285/,
389214717, Ноутбук Dream Machines RG4050-15 (RG4050-15UA26) Black ,57 499₴,https://rozetka.com.ua/ua/dream-machines-rg4050-15ua26/p389214717/,
378012003, Ноутбук НР ProBook 440 G9 (723P1EA) Pike Silver ,49 999₴,https://rozetka.com.ua/ua/hp-723p1ea/p378012003/,
377720601, Ноутбук HP ProBook 440 G9 (6S6W4EA) Silver ,49 999₴,https://rozetka.com.ua/ua/hp-6s6w4ea/p377720601/,
397428555, Ноутбук 2E Complex Pro 14 Lite (NV41PZ-14UA24) Ice Crystal Blue ,37 999₴,https://rozetka.com.ua/ua/2e-nv41pz-14ua24/p397428555/,
376990035, Ноутбук MSI Raider GE78 HX 13V (13VH-210UA) Core Black ,157 999₴,https://rozetka.com.ua/ua/msi-13vh-210ua/p376990035/,
379982127, Ноутбук MSI Thin GF63 (12UDX-279XUA) Black ,44 499₴,https://rozetka.com.ua/ua/msi-12udx-279xua/p379982127/,
388332855, Ноутбук Acer Aspire 5 Spin 14 A5SP14-51MTN-59PR (NX.KHKEU.004) Steel Gray ,30 999₴,https://rozetka.com.ua/ua/acer-nxkhkeu004/p388332855/,
376992132, Ноутбук MSI Raider GE78 HX 13V (13VH-211UA) Core Black ,161 499₴,https://rozetka.com.ua/ua/msi-13vh-211ua/p376992132/,
389188245, Ноутбук Dell Latitude 3540 (N022L354015UA_UBU) Black ,44 675₴,https://rozetka.com.ua/ua/dell-n022l354015ua-ubu/p389188245/,
376113543, Ноутбук Microsoft Surface Laptop 5 (RIQ-00001) Platinum ,98 799₴,https://rozetka.com.ua/ua/microsoft-riq-00001/p376113543/,
362820501, Ноутбук Dream Machines RS3080-15 (RS3080-15UA51) ,99 999₴,https://rozetka.com.ua/ua/dream-machines-rs3080-15ua51/p362820501/,
392677818, Ноутбук Lenovo ThinkBook 15 G4 IAP (21DJ00KJRA) Mineral Grey ,29 799₴,https://rozetka.com.ua/ua/lenovo-21dj00kjra/p392677818/,
380219502, Ноутбук MSI Stealth 17 Studio A13V (A13VG-018XUA) Core Black ,106 999₴,https://rozetka.com.ua/ua/msi-a13vg-018xua/p380219502/,
396261414, Ноутбук Acer Aspire 5 A515-48M-R87B (NX.KJ9EU.006) Steel Gray ,19 999₴,https://rozetka.com.ua/ua/acer-nxkj9eu006/p396261414/,https://content.rozetka.com.ua/goods/images/big_tile/365961624.jpg
393136143, Ноутбук Lenovo ThinkBook 15 G4 IAP (21DJ00N8RA) Mineral Grey ,23 399₴,https://rozetka.com.ua/ua/lenovo-21dj00n8ra/p393136143/,https://content1.rozetka.com.ua/goods/images/big_tile/360307636.jpg
376996650, Ноутбук MSI Vector GP77 13V (13VG-072UA) Core Black ,132 999₴,https://rozetka.com.ua/ua/msi-13vg-072ua/p376996650/,https://content1.rozetka.com.ua/goods/images/big_tile/331268140.jpg
362820393, Ноутбук Dream Machines RS3070-15 (RS3070-15UA53) ,74 999₴,https://rozetka.com.ua/ua/dream-machines-rs3070-15ua53/p362820393/,https://content.rozetka.com.ua/goods/images/big_tile/304338233.jpg
380669481, Ноутбук Dell Latitude 5540 (N097L554015UA_UBU) Grey ,41 145₴,https://rozetka.com.ua/ua/dell-n097l554015ua-ubu/p380669481/,https://content1.rozetka.com.ua/goods/images/big_tile/338089651.jpg
377693532, Ноутбук HP 470 G9 (6F246EA) Asteroid Silver ,39 999₴,https://rozetka.com.ua/ua/hp-6f246ea/p377693532/,https://content.rozetka.com.ua/goods/images/big_tile/332420530.jpg
392677821, Ноутбук Lenovo ThinkBook 15 G4 IAP (21DJ00KSRA) Mineral Grey ,27 899₴,https://rozetka.com.ua/ua/lenovo-21dj00ksra/p392677821/,https://content.rozetka.com.ua/goods/images/big_tile/359378552.jpg
380155506, Ноутбук MSI Pulse 17 (B13VGK-430XUA) Titan Grey ,89 999₴,https://rozetka.com.ua/ua/msi-b13vgk-430xua/p380155506/,https://content.rozetka.com.ua/goods/images/big_tile/335039612.jpg
282337763, Ноутбук Acer Aspire 3 A315-35-C59M (NX.A6LEU.01B) Pure Silver ,12 299₴,https://rozetka.com.ua/ua/acer_nx_a6leu_01b/p282337763/,https://content.rozetka.com.ua/goods/images/big_tile/163391759.jpg
384860274, Ноутбук HP Laptop 14-ep0019ua (833H0EA) Diamond White ,18 655₴,https://rozetka.com.ua/ua/hp-833h0ea/p384860274/,https://content.rozetka.com.ua/goods/images/big_tile/345642145.jpg
397427997, Ноутбук 2E Complex Pro 14 Lite (NV41PZ-14UA23) Ice Crystal Blue ,32 999₴,https://rozetka.com.ua/ua/2e-nv41pz-14ua23/p397427997/,
362814405, Ноутбук Dream Machines RG3060-15 (RG3060-15UA34) ,50 999₴,https://rozetka.com.ua/ua/dream-machines-rg3060-15ua34/p362814405/,
363019368, Ноутбук Dream Machines RT3080Ti-15 (RT3080Ti-15UA52) ,94 999₴,https://rozetka.com.ua/ua/dream-machines-rt3080ti-15ua52/p363019368/,
346331883, Ноутбук Dream Machines RG3060-15 (RG3060-15UA38) ,53 999₴,https://rozetka.com.ua/ua/dream_machines_rg3060_15ua38/p346331883/,
371998446, Ноутбук Microsoft Surface Laptop 5 (R8P-00024) Black ,81 589₴,https://rozetka.com.ua/ua/microsoft-r8p-00024/p371998446/,
363016449, Ноутбук Dream Machines RT3080-15 (RT3080-15UA50) ,82 999₴,https://rozetka.com.ua/ua/dream-machines-rt3080-15ua50/p363016449/,
388339941, Ноутбук Acer Swift Go 14 SFG14-71-388B (NX.KF7EU.002) Pure Silver ,24 999₴,https://rozetka.com.ua/ua/acer-nxkf7eu002/p388339941/,
372080118, Ноутбук MSI Stealth 17 Studio A13V (A13VH-067UA) Core Black ,151 999₴,https://rozetka.com.ua/ua/msi-a13vh-067ua/p372080118/,
392024910, Ноутбук 2E Complex Pro 15 (NS51PU-15UA55) Silver ,53 999₴,https://rozetka.com.ua/ua/2e-ns51pu-15ua55/p392024910/,
362820474, Ноутбук Dream Machines RS3080-15 (RS3080-15UA50) ,94 999₴,https://rozetka.com.ua/ua/dream-machines-rs3080-15ua50/p362820474/,
377995443, Ноутбук HP 250 G9 (6S7P9EA) Black ,33 999₴,https://rozetka.com.ua/ua/hp-6s7p9ea/p377995443/,
392026380, Ноутбук 2E Complex Pro 17 (NS70PU-17UA35) Black ,42 999₴,https://rozetka.com.ua/ua/2e-ns70pu-17ua35/p392026380/,
363018546, Ноутбук Dream Machines RT3080-15 (RT3080-15UA56) ,94 999₴,https://rozetka.com.ua/ua/dream-machines-rt3080-15ua56/p363018546/,
372031542, Ноутбук MSI Modern 15 (B12M-299XUA) Classic Black ,38 499₴,https://rozetka.com.ua/ua/msi-b12m-299xua/p372031542/,
363019362, Ноутбук Dream Machines RT3080Ti-15 (RT3080Ti-15UA51) ,89 999₴,https://rozetka.com.ua/ua/dream-machines-rt3080ti-15ua51/p363019362/,
335750221, Ноутбук Prestigio SmartBook 141 С6 (PSB141C06CHP_MG_CIS) Silver ,9 049₴,https://rozetka.com.ua/ua/prestigio-psb141c06chp-mg-cis/p335750221/,
401544267, Ноутбук 2E Imaginary 15 (NL50GU1-15UA28) Black ,19 999₴,https://rozetka.com.ua/ua/2e-nl50gu1-15ua28/p401544267/,
